"출처DB","업체명","분류","전화","휴대폰","이메일","주소","시/도","구/군","상태","메모","다음연락일","저장일"
"mobile","책나무 천안청당점","책나무","010-8188-9509","010-8188-9509","","충남 천안시 동남구 청당2길 83-3","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","리드인 충남2지사 직영점","리드인","010-8496-1004","010-8496-1004","","충남 천안시 동남구 청수4로 10","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","칸타빌레 성인피아노학원","피아노학원","010-9404-1639","010-9404-1639","","충남 천안시 동남구 천안천7길 32-1","충남","천안시","미연락","","","2026-06-15 21:19:36"
"mobile","마당있는집","한정식","010-9873-6002","010-9873-6002","","충남 금산군 금산읍 뒷담말길 26","충남","금산군","미연락","","","2026-06-15 21:19:36"
"mobile","말앙말앙","분식","010-8280-2070","010-8280-2070","","충남 서천군 서천읍 서천로 93","충남","서천군","미연락","","","2026-06-15 21:19:36"
"mobile","찰리와 고추빵공장","제과,베이커리","010-2845-0484","010-2845-0484","","충남 청양군 청양읍 문화예술로 185","충남","청양군","미연락","","","2026-06-15 21:19:36"
"mobile","한양수미옥청주본가 내포점","한식","010-5327-7973","010-5327-7973","","충남 예산군 삽교읍 신촌길 6","충남","예산군","미연락","","","2026-06-15 21:19:36"
"mobile","고덕불고기","불고기,두루치기","010-5117-2539","010-5117-2539","","충남 예산군 예산읍 예산시장길 2","충남","예산군","미연락","","","2026-06-15 21:19:36"
"mobile","우마카","육류,고기","010-7105-2732","010-7105-2732","","충남 홍성군 홍북읍 청사로174번길 9","충남","홍성군","미연락","","","2026-06-15 21:19:36"
"mobile","착한해산물","해물,생선","010-3040-5783","010-3040-5783","","충남 보령시 주교면 대천방조제로 726","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","산도155","샌드위치","010-3457-4857","010-3457-4857","","충남 보령시 보령북로 155","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","샵1984 양과점","제과,베이커리","010-2723-2941","010-2723-2941","","충남 공주시 한적2길 51-12","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","사계반상","한식","010-2671-9340","010-2671-9340","","충남 공주시 대통1길 27","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","사계다락","한식","010-5758-9340","010-5758-9340","","충남 공주시 웅진로 119-1","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","공주면가","칼국수","010-6656-1557","010-6656-1557","","충남 공주시 무령로 148","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","진토랑","한식","010-4662-9486","010-4662-9486","","충남 공주시 봉황로 86","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","영식이네수산","회","010-7425-1436","010-7425-1436","","충남 논산시 시민로132번길 36-6","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","복호두 아산탕정신도시점","복호두","010-2201-6790","010-2201-6790","","충남 아산시 탕정면 한들물빛도시로 70","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","천안명가","제과,베이커리","010-5434-9802","010-5434-9802","","충남 아산시 배방읍 희망로 100","충남","","미연락","","","2026-06-15 21:19:36"
"mobile","바른자세수련원","체형관리","010-3449-0679","010-3449-0679","","충남 금산군 금산읍 비범로 25","충남","금산군","미연락","","","2026-06-15 21:19:36"
"mobile","윤선생우리집앞영어교실 아산사라학원","윤선생우리집앞영어교실","010-9168-5697","010-9168-5697","","충남 아산시 탕정면 한들물빛도시로 70","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 아산탕정","윤선생우리집앞영어교실","010-6665-0543","010-6665-0543","","충남 아산시 탕정면 탕정면로 37","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","아트앤하트 아산배방푸르지오교육원","미술학원","010-2268-1914","010-2268-1914","","충남 아산시 배방읍 배방로105번길 31","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","SDI영어학원","영어학원","010-8826-3727","010-8826-3727","","충남 아산시 배방읍 배방로 78","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","크리아트 아산세교 창의미술교습소","미술학원","010-2728-5132","010-2728-5132","","충남 아산시 배방읍 동방로 131","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","피어나음악교습소","피아노학원","010-7487-8314","010-7487-8314","","충남 아산시 배방읍 동방로 131","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","정유성수학학원","수학학원","010-4812-8403","010-4812-8403","","충남 아산시 배방읍 용연로 84-11","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","크리아트 아산배방원","미술학원","010-8903-9980","010-8903-9980","","충남 아산시 배방읍 북수로25번길 42-1","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","스마트해법수학학원","수학학원","010-2467-1273","010-2467-1273","","충남 아산시 배방읍 월천2길 36","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","플레이팩토 플팩나라","플레이팩토","010-9316-8320","010-9316-8320","","충남 아산시 배방읍 배방로 58-44","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","플레이팩토 윤미라교육원","플레이팩토","010-8863-5229","010-8863-5229","","충남 아산시 배방읍 배방로 58-11","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","플레이팩토 창의수학플팩","플레이팩토","010-5762-4240","010-5762-4240","","충남 아산시 배방읍 연화로 11","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","플레이팩토 백윤희교육원","플레이팩토","010-4532-3529","010-4532-3529","","충남 아산시 배방읍 호서로 458","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 배방자이1차","윤선생영어숲","010-7327-6379","010-7327-6379","","충남 아산시 배방읍 호서로 458","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","깊은수학학원","입시학원","010-9974-0373","010-9974-0373","","충남 아산시 배방읍 배방로 53","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","세교이화음악학원","피아노학원","010-5949-4520","010-5949-4520","","충남 아산시 배방읍 세교중앙1길 26","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 장재휴먼시아","윤선생우리집앞영어교실","010-5713-4813","010-5713-4813","","충남 아산시 배방읍 장재로 27","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","아산색소폰","음악학원","010-9522-0688","010-9522-0688","","충남 아산시 충무로 61","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","엘리제피아노","피아노학원","010-3371-4682","010-3371-4682","","충남 아산시 시민로 485","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","민은경화실","미술학원","010-4162-8053","010-4162-8053","","충남 아산시 충무로42번길 6","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","김주미노래댄스문화교실","음악학원","010-3434-7121","010-3434-7121","","충남 아산시 충무로20번길 10","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","뮤엠영어 온천이엔엠에듀점","뮤엠영어","010-4661-3536","010-4661-3536","","충남 아산시 온천시문2로 2","충남","","미연락","","","2026-06-15 21:19:35"
"mobile","외대영어수학학원","학원","010-8456-7693","010-8456-7693","","충남 천안시 동남구 봉명1길 72","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","김영실국악원","음악학원","010-5423-7741","010-5423-7741","","충남 천안시 서북구 미라13길 14","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","시에뷰티전문학원","미용학원","010-2114-4713","010-2114-4713","","충남 천안시 서북구 미라8길 33","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","아트앤하트 백석환서미술학원","미술학원","010-2070-9288","010-2070-9288","","충남 천안시 서북구 한들3로 107","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","열공내공영어학원","영어학원","010-3858-1040","010-3858-1040","","충남 천안시 서북구 한들3로 35-12","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","이지윤뮤직스튜디오","음악학원","010-6495-1171","010-6495-1171","","충남 천안시 서북구 백석5길 13-1","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","도로시발레학원","무용학원,발레학원","010-2418-0311","010-2418-0311","","충남 천안시 서북구 한들2로 88-15","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","무한수학학원","수학학원","010-3135-5614","010-3135-5614","","충남 천안시 서북구 백석4길 38","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","올킬수학교습소","수학학원","010-2439-0604","010-2439-0604","","충남 천안시 서북구 한들2로 34-30","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","더웨이학원","학원","010-3041-6521","010-3041-6521","","충남 천안시 서북구 한들3로 35-5","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 천안백석그린빌","윤선생우리집앞영어교실","010-3174-4290","010-3174-4290","","충남 천안시 서북구 백석4길 31","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","뮤엠영어 불무초점","뮤엠영어","010-2414-7734","010-2414-7734","","충남 천안시 서북구 불당24로 51","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","피아르테루바토 천안점","피아노학원","010-9527-3407","010-9527-3407","","충남 천안시 서북구 불당21로 67-21","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 천안신불당리더힐스","윤선생우리집앞영어교실","010-9186-3295","010-9186-3295","","충남 천안시 서북구 불당24로 10","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","마스터보컬학원","실용음악학원","010-8429-2910","010-8429-2910","","충남 천안시 서북구 두정역길 7","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","아트앤하트 천안두정포레나교육원","미술학원","010-2622-8870","010-2622-8870","","충남 천안시 서북구 천안대로 980-17","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","뮤엠영어 늘푸른오성초점","뮤엠영어","010-8455-0524","010-8455-0524","","충남 천안시 서북구 늘푸른6길 42","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","인생뮤직학원 천안점","실용음악학원","010-6237-2676","010-6237-2676","","충남 천안시 서북구 서부대로 728","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","플레이팩토 신일호교육원","플레이팩토","010-8412-5829","010-8412-5829","","충남 천안시 서북구 오성6길 12","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 천안불당대원칸타빌","윤선생우리집앞영어교실","010-6314-4426","010-6314-4426","","충남 천안시 서북구 불당11로 82","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생우리집앞영어교실 천안신불당파크푸르지오","윤선생우리집앞영어교실","010-5152-1241","010-5152-1241","","충남 천안시 서북구 불당26로 122","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","링키영어 불당호반2차점","영어학원","010-9690-3732","010-9690-3732","","충남 천안시 서북구 불당27길 25","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","책나무 신불당점","책나무","010-3147-8005","010-3147-8005","","충남 천안시 서북구 불당25로 152","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","책나무 불당점","책나무","010-5572-3760","010-5572-3760","","충남 천안시 서북구 검은들3길 52","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","윤선생스마트랜드 천안아산","윤선생스마트랜드","010-5465-7047","010-5465-7047","","충남 천안시 서북구 불당22대로 86","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","책나무 천안 성성가람점","책나무","010-8423-1667","010-8423-1667","","충남 천안시 서북구 성성6로 47-47","충남","천안시","미연락","","","2026-06-15 21:19:35"
"mobile","하이엔드엘리아어학원","영어학원","010-5741-0550","010-5741-0550","","충남 아산시 탕정면 한들물빛5로 33","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","포레과학학원","학원","010-3499-1213","010-3499-1213","","충남 아산시 탕정면 탕정면로 54-3","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","기탄사고력교실 탕정호반2차교실","기탄사고력교실","010-9389-1113","010-9389-1113","","충남 아산시 탕정면 갈산샛들로 67","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","플레이팩토 지니어스","플레이팩토","010-8809-1720","010-8809-1720","","충남 아산시 탕정면 탕정면로 37","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","무지크바움피아노스튜디오","피아노학원","010-5695-6401","010-5695-6401","","충남 아산시 탕정면 한들물빛도시로 88","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","플레이팩토 김선미교육원","플레이팩토","010-2614-8306","010-2614-8306","","충남 아산시 탕정면 탕정면로 37","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","감성I성향미술학원 탕정점","미술학원","010-5769-2650","010-5769-2650","","충남 아산시 탕정면 한들물빛5로 33","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","뮤엠영어 탕정호반nest","뮤엠영어","010-2799-8355","010-2799-8355","","충남 아산시 탕정면 갈산샛들로 67","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","플레이팩토 지혜그루사고력교실","플레이팩토","010-7208-0822","010-7208-0822","","충남 아산시 탕정면 한들물빛도시로 70","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","플레이팩토","플레이팩토","010-3188-5399","010-3188-5399","","충남 아산시 탕정면 갈산교로 223","충남","","미연락","","","2026-06-15 21:19:24"
"mobile","영어답게어학원","영어학원","010-9390-0282","010-9390-0282","","충남 홍성군 홍북읍 청사로48번길 4","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","맨투맨코딩","학원","010-3019-0866","010-3019-0866","","충남 홍성군 홍북읍 홍예로 213","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","아소비학원 내포신도시점","학원","010-8994-1021","010-8994-1021","","충남 홍성군 홍북읍 애향5길 8","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","내포솔트영어","영어학원","010-3757-2090","010-3757-2090","","충남 홍성군 홍북읍 홍학로 95","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","코딩하루 내포충남도청센터","컴퓨터학원","010-9811-1779","010-9811-1779","","충남 홍성군 홍북읍 청사로150번길 10","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","유핏학원","입시학원","010-7545-8253","010-7545-8253","","충남 홍성군 홍북읍 청사로48번길 12-1","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","글빛마루독서논술","논술학원","010-2661-1932","010-2661-1932","","충남 홍성군 홍북읍 자경로 17","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","대치스파르타학원","학원","010-9192-6437","010-9192-6437","","충남 홍성군 홍북읍 청사로48번길 10-1","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","씽크트리 사고력교실","수학학원","010-5807-8402","010-5807-8402","","충남 홍성군 홍북읍 홍학로 88","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 홍성창의플팩","플레이팩토","010-4662-5747","010-4662-5747","","충남 홍성군 홍북읍 신대로 33","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 328점","플레이팩토","010-5323-8322","010-5323-8322","","충남 홍성군 홍북읍 신대로 135","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 아너스","플레이팩토","010-4830-7734","010-4830-7734","","충남 홍성군 홍북읍 청사로 15","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","윤선생영어숲 내포디에트르","윤선생영어숲","010-7613-7622","010-7613-7622","","충남 홍성군 홍북읍 용봉로 17","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","홍성드론교육원","학원","010-5085-7650","010-5085-7650","","충남 홍성군 홍북읍 산수리 113-4","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","책나무 홍성 내포점","책나무","010-2007-1493","010-2007-1493","","충남 홍성군 홍북읍 홍학로 81","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","윤선생우리집앞영어교실 내포경남아너스빌","윤선생우리집앞영어교실","010-9925-1407","010-9925-1407","","충남 홍성군 홍북읍 청사로 15","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","아소비학원 홍성점","보습학원","010-2411-1163","010-2411-1163","","충남 홍성군 홍성읍 법원로 15","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","푸르넷학원","학원","010-4465-3966","010-4465-3966","","충남 홍성군 홍성읍 조양로36번길 25","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","김경아노래교실","음악학원","010-7101-9206","010-7101-9206","","충남 홍성군 홍성읍 충절로1053번길 41","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","푸드란쿠킹클래스","요리학원","010-9251-5222","010-9251-5222","","충남 홍성군 홍성읍 내포로156번길 40","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","조르주상드피아노스튜디오","피아노학원","010-4798-4867","010-4798-4867","","충남 홍성군 홍성읍 월계2길 9-5","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","홍성MTM학원","학원","010-7706-2060","010-7706-2060","","충남 홍성군 홍성읍 문화로72번길 52","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 창의수학","플레이팩토","010-9935-5291","010-9935-5291","","충남 홍성군 홍성읍 조양로33번길 3","충남","홍성군","미연락","","","2026-06-15 21:19:23"
"mobile","당진시학원연합회","단체,협회","010-6217-2514","010-6217-2514","","충남 당진시 신평면 거산3거리길 74-45","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","스케치앤프레임","학원","010-3952-2203","010-3952-2203","","충남 당진시 신평면 거산3거리길 74-11","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","예스위캔","영어학원","010-9278-9765","010-9278-9765","","충남 당진시 신평면 거산3거리길 46-1","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","ERC영어교습소 당진신평점","영어학원","010-7435-0252","010-7435-0252","","충남 당진시 신평면 세정길 36","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","브레인수학전문학원","수학학원","010-9335-7020","010-9335-7020","","충남 당진시 합덕읍 덕평로 561","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","신정뮤엠영어 합덕캠퍼스","영어학원","010-7552-0617","010-7552-0617","","충남 당진시 합덕읍 합덕교동1길 13","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","책통클럽&송수아영어학원","영어학원","010-8850-7412","010-8850-7412","","충남 보령시 봉황로 25-4","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","박성숙논술","논술학원","010-8313-3136","010-8313-3136","","충남 보령시 봉황로 72-6","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","등불수학교습소","수학학원","010-6888-0696","010-6888-0696","","충남 보령시 봉황로 72-6","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","수아디미술학원","미술학원","010-7534-7084","010-7534-7084","","충남 보령시 봉황로 80","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","탑영어교습소","영어학원","010-4769-2436","010-4769-2436","","충남 보령시 보령북로 195","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","한가람국악원","음악학원","010-3044-6879","010-3044-6879","","충남 보령시 중앙로 226","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","김쌤영어교실","영어학원","010-4680-6356","010-4680-6356","","충남 보령시 대천로 70","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","터닝포인트영어교습소","영어학원","010-7274-5909","010-7274-5909","","충남 보령시 대관초등길 100","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","보령원스기타교습소","음악학원","010-2621-0805","010-2621-0805","","충남 보령시 보령북로 101","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","그림나무","미술학원","010-8811-3283","010-8811-3283","","충남 보령시 대천로 50","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","바하음악교습소","음악학원","010-9421-1805","010-9421-1805","","충남 보령시 대관초등길 100","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","셀파우등생 현대3차공부방","학원","010-9916-3879","010-9916-3879","","충남 공주시 신금1길 72","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","글샘국어독서논술학원","논술학원","010-4346-5117","010-4346-5117","","충남 공주시 무령로 586","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","윤스터디 휴먼기술학원","학원","010-2458-3076","010-2458-3076","","충남 공주시 하신길 27-9","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","밸런스영수랩","학원","010-8402-2025","010-8402-2025","","충남 공주시 관골1길 31-8","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","뉴욕에듀 영어교습소","보습학원","010-9619-0594","010-9619-0594","","충남 공주시 공주대학로 19","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","윤선생영어교실 공주신관M센터","윤선생영어교실","010-8121-3486","010-8121-3486","","충남 공주시 버드나무1길 51","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","짐수학","수학학원","010-4444-4512","010-4444-4512","","충남 공주시 웅진로 158-1","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","솔브잇","수학학원","010-7678-7627","010-7678-7627","","충남 공주시 웅진로 153-1","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 논산교육원","플레이팩토","010-9466-7946","010-9466-7946","","충남 논산시 시민로307번길 28","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","오렌지수학","수학학원","010-8181-4683","010-8181-4683","","충남 논산시 관촉로271번길 7","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","꿈꾸는고래학원","수학학원","010-7697-0448","010-7697-0448","","충남 논산시 시민로 408-1","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","링키영어 논산점","영어학원","010-7383-8052","010-7383-8052","","충남 논산시 시민로132번길 7","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","칠판앞S맨학원","수학학원","010-2188-2975","010-2188-2975","","충남 논산시 시민로307번길 14-22","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","논산통기타교실","음악학원","010-4535-4442","010-4535-4442","","충남 논산시 해월로 219","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","아비투스 국어학원 논산관","학원","010-9376-3551","010-9376-3551","","충남 논산시 시민로210번길 5","충남","","미연락","","","2026-06-15 21:19:23"
"mobile","플레이팩토 암산왕수학플러스","플레이팩토","010-9442-4545","010-9442-4545","","충남 논산시 시민로295번길 10","충남","","미연락","","","2026-06-15 21:19:23"
